date,close,open,high,low
05/01/2025 17:00,97731.08000000,98035.17000000,98078.94000000,97673.57000000
05/01/2025 18:00,97918.91000000,97731.09000000,97927.98000000,97577.46000000
05/01/2025 19:00,98079.63000000,97918.91000000,98109.00000000,97854.99000000
05/01/2025 20:00,98275.71000000,98079.64000000,98678.00000000,98024.00000000
05/01/2025 21:00,98496.52000000,98275.71000000,98522.46000000,98216.58000000
05/01/2025 22:00,98695.21000000,98496.52000000,98745.45000000,98344.00000000
05/01/2025 23:00,98363.61000000,98695.21000000,98836.85000000,98322.72000000
06/01/2025 00:00,98217.23000000,98363.61000000,98773.48000000,98190.75000000
06/01/2025 01:00,98759.43000000,98217.23000000,98816.28000000,97920.00000000
06/01/2025 02:00,98815.39000000,98759.42000000,99333.00000000,98649.97000000
06/01/2025 03:00,99037.57000000,98815.39000000,99235.99000000,98759.55000000
06/01/2025 04:00,99466.09000000,99037.57000000,99500.88000000,99037.57000000
06/01/2025 05:00,99600.00000000,99466.09000000,99892.00000000,99400.00000000
06/01/2025 06:00,99512.21000000,99600.00000000,99763.99000000,99382.31000000
06/01/2025 07:00,99318.70000000,99512.21000000,99529.87000000,99161.14000000
06/01/2025 08:00,99043.49000000,99318.70000000,99625.69000000,99000.00000000
06/01/2025 09:00,98999.99000000,99043.49000000,99250.00000000,98942.46000000
06/01/2025 10:00,98767.96000000,99000.00000000,99057.95000000,98709.28000000
06/01/2025 11:00,99259.99000000,98767.96000000,99410.23000000,98712.00000000
06/01/2025 12:00,99157.12000000,99259.99000000,99713.13000000,99142.43000000
06/01/2025 13:00,99492.51000000,99157.12000000,99575.85000000,98909.82000000
06/01/2025 14:00,100737.03000000,99492.50000000,101295.23000000,98711.94000000
06/01/2025 15:00,102147.95000000,100737.03000000,102468.92000000,100481.99000000
06/01/2025 16:00,102158.67000000,102147.95000000,102480.00000000,101719.59000000
06/01/2025 17:00,101831.95000000,102158.67000000,102158.68000000,101250.00000000
06/01/2025 18:00,101738.80000000,101831.95000000,102053.61000000,101578.12000000
06/01/2025 19:00,101817.22000000,101738.81000000,102032.00000000,101639.60000000
06/01/2025 20:00,102127.38000000,101817.22000000,102318.50000000,101800.00000000
06/01/2025 21:00,101611.92000000,102126.90000000,102329.98000000,101600.05000000
06/01/2025 22:00,102011.98000000,101611.92000000,102084.13000000,101600.06000000
06/01/2025 23:00,102235.60000000,102011.98000000,102239.58000000,101896.87000000
07/01/2025 00:00,102042.46000000,102235.60000000,102724.38000000,101950.00000000
