date,close,open,high,low
30/07/2024 22:00,66222.00000000,66304.00000000,66356.89000000,66072.43000000
30/07/2024 23:00,66188.00000000,66222.00000000,66307.50000000,66130.00000000
31/07/2024 00:00,66344.00000000,66188.00000000,66413.00000000,65881.96000000
31/07/2024 01:00,66296.00000000,66344.01000000,66404.01000000,66104.00000000
31/07/2024 02:00,66122.16000000,66295.99000000,66413.28000000,66068.63000000
31/07/2024 03:00,66058.00000000,66122.17000000,66228.86000000,66026.12000000
31/07/2024 04:00,65804.00000000,66058.00000000,66092.00000000,65496.00000000
31/07/2024 05:00,66175.52000000,65804.00000000,66221.55000000,65578.51000000
31/07/2024 06:00,66459.99000000,66175.53000000,66554.40000000,66120.60000000
31/07/2024 07:00,66224.00000000,66460.00000000,66527.11000000,66213.00000000
31/07/2024 08:00,66312.01000000,66224.00000000,66370.00000000,66044.00000000
31/07/2024 09:00,66262.00000000,66312.01000000,66374.01000000,66162.37000000
31/07/2024 10:00,65992.00000000,66262.01000000,66262.01000000,65954.54000000
31/07/2024 11:00,66094.01000000,65992.00000000,66144.00000000,65958.00000000
31/07/2024 12:00,66153.82000000,66094.01000000,66294.00000000,66000.00000000
31/07/2024 13:00,66508.00000000,66153.82000000,66849.24000000,66136.00000000
31/07/2024 14:00,66440.00000000,66508.01000000,66733.02000000,65963.25000000
31/07/2024 15:00,66379.99000000,66440.01000000,66560.01000000,66326.00000000
31/07/2024 16:00,66362.00000000,66379.99000000,66751.32000000,66287.87000000
31/07/2024 17:00,66686.00000000,66362.01000000,66836.30000000,66303.84000000
31/07/2024 18:00,66527.99000000,66686.01000000,66733.99000000,66138.00000000
31/07/2024 19:00,65256.83000000,66527.99000000,66649.12000000,64957.14000000
31/07/2024 20:00,64595.81000000,65256.83000000,65422.00000000,64543.57000000
31/07/2024 21:00,64978.00000000,64595.81000000,65136.04000000,64530.00000000
31/07/2024 22:00,64980.01000000,64978.00000000,65058.00000000,64634.00000000
31/07/2024 23:00,64628.00000000,64980.01000000,64996.00000000,64627.97000000
01/08/2024 00:00,64645.90000000,64628.01000000,64841.29000000,64316.55000000
01/08/2024 01:00,64202.00000000,64645.90000000,64816.01000000,64099.00000000
01/08/2024 02:00,64110.01000000,64202.00000000,64254.00000000,63900.00000000
01/08/2024 03:00,63936.01000000,64110.00000000,64139.82000000,63750.00000000
01/08/2024 04:00,63740.41000000,63936.01000000,64058.00000000,63613.33000000
01/08/2024 05:00,64303.99000000,63740.41000000,64357.38000000,63584.00000000
01/08/2024 06:00,64226.00000000,64304.00000000,64454.00000000,64124.00000000
01/08/2024 07:00,64328.59000000,64226.00000000,64488.00000000,64216.71000000
01/08/2024 08:00,64507.17000000,64328.60000000,64560.01000000,64310.00000000
01/08/2024 09:00,64466.00000000,64507.18000000,64701.41000000,64441.20000000
01/08/2024 10:00,64584.55000000,64466.01000000,64610.01000000,64299.87000000
01/08/2024 11:00,64674.25000000,64584.54000000,64690.00000000,64467.40000000
01/08/2024 12:00,64883.98000000,64674.26000000,64926.52000000,64634.89000000
01/08/2024 13:00,64754.03000000,64883.99000000,64949.58000000,64466.21000000
01/08/2024 14:00,63935.83000000,64754.02000000,64776.75000000,63928.10000000
01/08/2024 15:00,62906.60000000,63935.83000000,63962.00000000,62666.07000000
01/08/2024 16:00,62908.00000000,62907.44000000,63203.99000000,62652.55000000
01/08/2024 17:00,63220.00000000,62908.01000000,63254.82000000,62302.00000000
01/08/2024 18:00,62954.00000000,63220.00000000,63435.75000000,62811.26000000
01/08/2024 19:00,63422.01000000,62953.99000000,63509.83000000,62944.01000000
01/08/2024 20:00,64760.00000000,63422.01000000,64776.00000000,63336.61000000
01/08/2024 21:00,64889.03000000,64760.01000000,65356.00000000,64628.01000000
01/08/2024 22:00,65184.37000000,64889.04000000,65659.78000000,64869.49000000
01/08/2024 23:00,65354.02000000,65184.37000000,65470.84000000,65000.00000000
02/08/2024 00:00,64897.99000000,65354.02000000,65596.14000000,64895.83000000
02/08/2024 01:00,64647.99000000,64898.00000000,64898.00000000,64548.01000000
02/08/2024 02:00,64359.91000000,64648.00000000,64821.99000000,63668.00000000
02/08/2024 03:00,64609.18000000,64359.92000000,64636.80000000,64246.00000000
02/08/2024 04:00,64531.99000000,64609.17000000,64655.17000000,64438.00000000
02/08/2024 05:00,64170.01000000,64531.98000000,64541.72000000,64078.00000000
02/08/2024 06:00,64477.21000000,64170.01000000,64640.00000000,63807.29000000
02/08/2024 07:00,64164.07000000,64477.22000000,64516.01000000,64124.87000000
02/08/2024 08:00,64598.01000000,64164.07000000,64610.00000000,64044.00000000
02/08/2024 09:00,64511.99000000,64598.01000000,64618.75000000,64420.80000000
02/08/2024 10:00,64764.93000000,64512.00000000,64873.61000000,64350.00000000
02/08/2024 11:00,64660.01000000,64764.93000000,64974.00000000,64649.96000000
02/08/2024 12:00,64846.00000000,64660.01000000,64940.01000000,64118.60000000
02/08/2024 13:00,65229.99000000,64846.00000000,65524.01000000,64558.15000000
02/08/2024 14:00,63157.95000000,65229.99000000,65366.01000000,63102.00000000
02/08/2024 15:00,63416.01000000,63157.95000000,63636.46000000,62432.90000000
02/08/2024 16:00,63307.38000000,63416.00000000,63611.24000000,62964.41000000
02/08/2024 17:00,63098.01000000,63307.39000000,63456.01000000,63066.00000000
02/08/2024 18:00,62898.25000000,63098.01000000,63220.00000000,62784.00000000
02/08/2024 19:00,62633.57000000,62898.24000000,62981.56000000,62515.00000000
02/08/2024 20:00,62622.01000000,62633.58000000,63187.26000000,62088.00000000
02/08/2024 21:00,61987.01000000,62622.01000000,62736.01000000,61286.54000000
02/08/2024 22:00,61386.01000000,61987.02000000,62250.00000000,61230.01000000
02/08/2024 23:00,61498.33000000,61386.01000000,61782.00000000,61311.00000000
03/08/2024 00:00,61132.01000000,61498.34000000,61725.78000000,60903.00000000
03/08/2024 01:00,61342.01000000,61132.01000000,61390.12000000,60505.00000000
03/08/2024 02:00,61450.01000000,61342.01000000,61614.00000000,61217.99000000
03/08/2024 03:00,61895.99000000,61450.01000000,61975.00000000,61310.90000000
03/08/2024 04:00,61566.25000000,61895.99000000,61981.43000000,61398.01000000
03/08/2024 05:00,61693.99000000,61566.26000000,61720.34000000,61512.00000000
03/08/2024 06:00,61827.89000000,61694.00000000,61847.11000000,61674.69000000
03/08/2024 07:00,61662.01000000,61827.89000000,61906.37000000,61618.70000000
03/08/2024 08:00,61629.68000000,61662.02000000,61740.60000000,61480.00000000
03/08/2024 09:00,61735.99000000,61629.68000000,61749.07000000,61457.89000000
03/08/2024 10:00,61822.01000000,61735.98000000,61885.90000000,61668.06000000
03/08/2024 11:00,61919.38000000,61822.01000000,62002.39000000,61785.51000000
03/08/2024 12:00,62002.71000000,61919.38000000,62198.22000000,61847.04000000
03/08/2024 13:00,62007.99000000,62002.71000000,62040.01000000,61844.49000000
03/08/2024 14:00,61990.00000000,62007.99000000,62173.01000000,61900.00000000
03/08/2024 15:00,60879.00000000,61990.00000000,62088.38000000,60833.33000000
03/08/2024 16:00,60912.01000000,60879.01000000,61288.00000000,60387.00000000
03/08/2024 17:00,60576.00000000,60912.01000000,61015.50000000,60450.00000000
03/08/2024 18:00,60243.97000000,60575.99000000,60840.00000000,60174.54000000
03/08/2024 19:00,60246.00000000,60243.97000000,60628.24000000,59920.00000000
03/08/2024 20:00,60395.97000000,60246.01000000,60716.64000000,60158.00000000
03/08/2024 21:00,60648.00000000,60395.97000000,60849.93000000,59850.00000000
03/08/2024 22:00,60629.84000000,60648.00000000,60765.00000000,60370.67000000
03/08/2024 23:00,60697.99000000,60629.85000000,60830.00000000,60380.00000000
04/08/2024 00:00,60747.00000000,60697.99000000,60814.16000000,60597.32000000
04/08/2024 01:00,60743.58000000,60747.00000000,60774.02000000,60320.00000000
04/08/2024 02:00,60886.95000000,60743.57000000,61117.63000000,60714.29000000
04/08/2024 03:00,60735.00000000,60886.96000000,60902.36000000,60692.00000000
04/08/2024 04:00,60564.12000000,60735.00000000,60792.47000000,60546.67000000
04/08/2024 05:00,60792.00000000,60564.12000000,60938.54000000,60542.50000000
04/08/2024 06:00,60819.61000000,60792.00000000,60871.50000000,60714.60000000
04/08/2024 07:00,60373.99000000,60819.60000000,60830.00000000,60260.00000000
04/08/2024 08:00,60565.41000000,60374.00000000,60666.00000000,60081.57000000
04/08/2024 09:00,60708.00000000,60566.00000000,60740.00000000,60504.00000000
04/08/2024 10:00,60812.01000000,60708.00000000,60828.70000000,60529.08000000
04/08/2024 11:00,60896.00000000,60812.01000000,61000.00000000,60779.00000000
04/08/2024 12:00,61062.00000000,60896.00000000,61097.55000000,60800.00000000
04/08/2024 13:00,60822.01000000,61062.00000000,61089.36000000,60822.00000000
04/08/2024 14:00,59586.70000000,60822.01000000,60876.00000000,59317.00000000
04/08/2024 15:00,59086.01000000,59586.69000000,59600.00000000,58960.00000000
04/08/2024 16:00,58663.90000000,59086.01000000,59314.57000000,58621.00000000
04/08/2024 17:00,57864.43000000,58663.90000000,58750.00000000,57122.77000000
04/08/2024 18:00,58770.60000000,57864.43000000,58930.58000000,57748.85000000
04/08/2024 19:00,59257.66000000,58770.60000000,59497.21000000,58530.80000000
04/08/2024 20:00,59158.00000000,59257.67000000,59583.00000000,58850.39000000
04/08/2024 21:00,58459.98000000,59158.01000000,59163.52000000,58357.15000000
04/08/2024 22:00,58715.83000000,58459.98000000,59133.33000000,58392.21000000
04/08/2024 23:00,58161.00000000,58715.83000000,58762.01000000,58001.81000000
05/08/2024 00:00,56174.02000000,58161.00000000,58305.59000000,55701.00000000
05/08/2024 01:00,54432.65000000,56174.01000000,56294.00000000,52300.17000000
05/08/2024 02:00,54697.98000000,54432.65000000,54720.00000000,53600.00000000
05/08/2024 03:00,53890.87000000,54697.98000000,54713.99000000,53797.14000000
05/08/2024 04:00,53528.01000000,53890.87000000,54576.71000000,53394.01000000
05/08/2024 05:00,52718.00000000,53526.01000000,53856.05000000,52300.00000000
05/08/2024 06:00,51588.00000000,52717.99000000,52994.28000000,49000.00000000
05/08/2024 07:00,52674.19000000,51588.00000000,53088.22000000,51356.02000000
05/08/2024 08:00,52752.00000000,52674.20000000,53218.37000000,52288.00000000
05/08/2024 09:00,52667.80000000,52752.00000000,52935.63000000,51750.01000000
05/08/2024 10:00,51386.00000000,52667.80000000,52667.80000000,50671.66000000
05/08/2024 11:00,51340.00000000,51384.00000000,51899.99000000,50633.47000000
05/08/2024 12:00,49804.00000000,51340.00000000,51542.00000000,49542.83000000
05/08/2024 13:00,51951.00000000,49804.01000000,52534.09000000,49599.90000000
05/08/2024 14:00,54061.68000000,51951.01000000,54516.01000000,51951.01000000
05/08/2024 15:00,54321.09000000,54061.67000000,54980.00000000,53500.00000000
05/08/2024 16:00,54039.11000000,54321.08000000,55600.00000000,54034.00000000
05/08/2024 17:00,54707.99000000,54039.11000000,55068.42000000,53767.48000000
05/08/2024 18:00,53096.84000000,54708.00000000,54717.14000000,53000.00000000
05/08/2024 19:00,53470.09000000,53096.85000000,53601.00000000,52555.00000000
05/08/2024 20:00,54393.85000000,53470.08000000,54404.00000000,53462.00000000
05/08/2024 21:00,54372.01000000,54393.85000000,55200.00000000,54272.00000000
05/08/2024 22:00,54695.87000000,54372.00000000,54971.00000000,54206.09000000
05/08/2024 23:00,54018.81000000,54695.87000000,55082.00000000,53876.47000000
06/08/2024 00:00,56038.00000000,54018.82000000,56064.21000000,53950.00000000
06/08/2024 01:00,55723.98000000,56037.99000000,56276.00000000,55436.00000000
06/08/2024 02:00,55845.44000000,55723.99000000,56064.00000000,55628.44000000
06/08/2024 03:00,55665.73000000,55845.44000000,55888.00000000,55471.50000000
06/08/2024 04:00,55493.98000000,55665.73000000,55760.00000000,55255.00000000
06/08/2024 05:00,55925.97000000,55493.97000000,55999.00000000,55257.82000000
06/08/2024 06:00,55782.00000000,55925.96000000,56050.00000000,55535.69000000
06/08/2024 07:00,55999.99000000,55782.00000000,56169.48000000,55458.00000000
06/08/2024 08:00,54992.00000000,55998.02000000,56122.00000000,54600.01000000
06/08/2024 09:00,55211.99000000,54992.01000000,55309.54000000,54602.21000000
06/08/2024 10:00,55062.00000000,55211.98000000,55440.47000000,54879.25000000
06/08/2024 11:00,55210.01000000,55062.00000000,55400.85000000,54868.36000000
06/08/2024 12:00,54772.01000000,55210.00000000,55468.00000000,54677.49000000
06/08/2024 13:00,55204.00000000,54772.01000000,55438.03000000,54371.94000000
06/08/2024 14:00,56132.01000000,55203.99000000,56605.55000000,55152.00000000
06/08/2024 15:00,56405.99000000,56132.01000000,56429.98000000,55735.00000000
06/08/2024 16:00,56775.52000000,56405.99000000,56899.00000000,56234.80000000
06/08/2024 17:00,56494.00000000,56775.51000000,56988.83000000,56487.17000000
06/08/2024 18:00,56729.99000000,56492.01000000,57040.99000000,56356.00000000
06/08/2024 19:00,56765.48000000,56730.00000000,56878.00000000,56312.66000000
06/08/2024 20:00,56541.99000000,56769.98000000,56850.48000000,56172.09000000
06/08/2024 21:00,56458.01000000,56542.00000000,56632.00000000,56090.69000000
06/08/2024 22:00,56200.26000000,56458.00000000,56935.56000000,55942.02000000
06/08/2024 23:00,56022.01000000,56200.26000000,56416.46000000,55800.00000000
07/08/2024 00:00,56269.99000000,56022.00000000,56375.00000000,55557.88000000
07/08/2024 01:00,56965.99000000,56270.00000000,57000.00000000,55782.00000000
07/08/2024 02:00,56762.01000000,56965.99000000,57287.99000000,56501.00000000
07/08/2024 03:00,56862.00000000,56762.01000000,56980.62000000,56590.00000000
07/08/2024 04:00,57048.02000000,56862.01000000,57250.00000000,56750.00000000
07/08/2024 05:00,56796.01000000,57048.02000000,57246.23000000,56704.00000000
07/08/2024 06:00,56838.57000000,56796.01000000,56996.00000000,56692.39000000
07/08/2024 07:00,56920.91000000,56838.58000000,57091.57000000,56544.70000000
07/08/2024 08:00,57348.00000000,56920.91000000,57448.90000000,56871.44000000
07/08/2024 09:00,57350.01000000,57348.00000000,57669.00000000,57170.90000000
07/08/2024 10:00,57323.00000000,57350.01000000,57736.05000000,57255.10000000
07/08/2024 11:00,56963.38000000,57322.99000000,57372.01000000,56870.39000000
07/08/2024 12:00,57292.00000000,56963.39000000,57341.38000000,56812.00000000
07/08/2024 13:00,56834.00000000,57292.00000000,57479.60000000,56710.50000000
07/08/2024 14:00,56085.83000000,56832.06000000,56988.00000000,55650.00000000
07/08/2024 15:00,56094.50000000,56085.83000000,56400.00000000,55768.50000000
